commitID,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,bug
262,1,1,1,0,2,4,492,1,22,0
264,1,1,4,0.688139584,22,4,333,1,26,1
265,1,1,1,0,6,0,487,1,21,0
266,1,1,1,0,2,2,486,1,21,1
270,1,1,4,0.760589714,41,11,946,1,25,1
272,2,2,12,0.895329738,44,7,569,1,26,1
275,1,1,2,0.347816914,0,59,389,1,24,0
276,1,1,2,0.959686894,55,3,579,1,24,1
280,1,1,3,0.772506886,15,7,547,1,23,1
283,1,1,1,0,5,2,574,1,21,0
285,1,1,2,0.721928095,3,1,703,1,23,0
287,1,1,1,0,2,7,572,1,21,0
290,2,2,5,0.791644181,21,38,601,1,23,1
291,1,1,3,0.932788378,9,8,540,1,23,1
292,3,3,29,0.847648368,49,27,459,1,26,1
293,1,1,1,0,20,15,596,1,21,0
294,1,1,1,0,15,137,599,1,21,0
295,1,1,1,0,19,34,648,1,20,0
296,1,1,1,0,5,3,658,1,20,1
299,1,1,9,0.866107761,9,9,554,1,22,1
300,1,1,2,0.811278124,0,5,771,1,22,0
301,1,1,1,0,3,3,641,1,20,1
302,1,1,1,0,2,6,641,0,20,1
305,1,1,7,0.660439276,18,1,635,1,21,1
307,1,1,1,0,36,23,691,1,19,1
308,1,1,1,0,55,158,685,1,19,1
313,1,1,1,0,1,1,881,1,19,1
314,1,1,1,0,32,22,881,1,19,1
315,1,1,2,0,1,1,524,1,19,1
316,1,1,1,0,77,14,873,1,19,1
317,1,1,3,0.748039931,41,31,574,1,21,1
318,2,2,9,0.761165966,126,17,399,1,21,1
321,1,1,4,0.238136895,186,215,1018,1,21,1
323,2,2,7,0.970835763,4,4,353,1,21,1
325,1,1,5,0.699936181,14,23,512,1,22,1
326,1,1,7,0.846075574,16,1,598,1,21,1
327,1,1,2,0.794490107,64,6,862,1,21,1
328,1,1,6,0.781190777,7,17,663,1,21,1
341,1,1,1,0,11,2,855,1,16,0
342,1,1,1,0,4,2,850,1,16,0
345,1,1,1,0,9,0,849,1,16,1
346,1,1,1,0,5,1,846,1,16,0
347,1,1,1,0,4,2,843,1,16,0
348,1,1,1,0,2,2,842,1,16,0
349,1,1,1,0,81,62,842,1,16,1
350,1,1,1,0,13,0,827,1,16,0
351,1,1,1,0,6,6,825,1,16,1
352,1,1,1,0,4,4,825,1,15,0
353,1,1,1,0,4,4,825,1,15,0
354,1,1,3,0.318636864,23,1,645,1,16,1
355,1,1,1,0,5,1,805,1,14,1
356,1,1,5,0.870281809,21,3,816,1,17,1
358,1,1,1,0,13,9,800,1,14,0
359,1,1,1,0,4,1,799,1,13,1
360,1,1,5,0.7449403,16,3,451,1,17,1
361,1,1,4,0.850015877,47,16,819,1,16,1
363,1,1,1,0,3,3,764,1,13,0
364,1,1,6,0.782405757,44,16,758,1,15,1
365,1,1,1,0,8,0,766,1,13,0
366,2,2,10,0.737503509,79,31,414,1,15,1
367,1,1,3,0.787120357,5,3,629,1,15,1
368,1,1,1,0,3,1,759,1,13,1
369,1,1,1,0,3,3,759,1,13,0
370,1,1,2,0.994030211,12,4,713,1,15,0
371,1,1,1,0,1,1,761,1,13,0
372,1,1,3,0.806853195,74,42,485,1,15,1
374,1,1,1,0,4,0,736,1,11,0
375,1,1,2,0.804252236,64,4,421,1,11,1
376,1,1,1,0,18,14,727,1,10,0
377,1,1,1,0,10,6,724,1,10,1
378,1,1,1,0,1,0,722,1,10,0
379,1,1,1,0,3,3,721,0,10,1
380,1,1,1,0,1,1,721,0,10,0
381,1,1,1,0,61,35,721,1,10,1
382,1,1,1,0,4,1,708,1,10,0
383,1,1,1,0,24,16,706,0,10,0
384,1,1,2,0.979868757,4,3,852,1,12,1
386,1,1,4,0.53477311,149,34,437,1,12,1
387,1,1,1,0,2,2,630,1,10,1
388,1,1,1,0,0,3,630,1,10,0
389,1,1,1,0,2,2,631,1,9,0
390,1,1,1,0,5,0,631,1,9,0
391,1,1,1,0,8,0,631,1,8,0
392,1,1,1,0,2,2,628,1,7,0
393,1,1,1,0,5,0,628,1,7,0
394,1,1,5,0.313992569,34,27,284,1,8,1
395,1,1,5,0.318270789,297,28,342,1,8,1
396,1,1,1,0,2,2,626,1,5,0
397,1,1,1,0,10,2,626,1,5,1
398,1,1,1,0,5,2,622,0,5,0
399,1,1,6,0.849977407,6,2,383,1,8,1
400,1,1,1,0,3,3,620,1,5,0
401,1,1,5,0.806464891,23,36,521,0,7,1
402,1,1,2,0.749595257,11,2,548,0,6,1
403,1,1,7,0.817785217,22,2,538,1,7,1
404,1,1,1,0,7,7,615,0,5,0
405,1,1,14,0.841067823,134,31,414,1,7,1
406,1,1,1,0,5,3,585,1,5,1
407,1,1,2,1,29,18,465,0,7,0
408,1,1,4,0.336742649,251,136,686,1,7,1
409,1,1,8,0.580565918,26,53,430,1,8,1
410,1,1,1,0,7,5,570,0,5,1
411,1,1,4,0.823483334,16,3,383,1,7,1
412,1,1,2,0.958711883,13,4,597,1,5,1
413,1,1,3,0.68589275,24,3,550,1,7,1
414,1,1,8,0.755957559,65,8,420,1,7,1
415,1,1,1,0,2,2,561,0,5,1
416,1,1,3,0.770219962,65,17,477,0,5,1
418,1,1,3,0.890517856,11,23,323,0,6,1
419,1,1,1,0,4,4,538,0,5,0
420,1,1,1,0,4,2,538,0,5,1
421,1,1,31,0.626947944,60,10,215,1,8,1
422,1,1,4,0.858842848,23,5,199,1,7,1
423,1,1,1,0,2,2,419,0,5,0
424,1,1,3,0.886530029,82,10,367,1,7,1
425,1,1,2,0.99107606,10,1,409,0,7,1
426,1,1,1,0,5,2,412,0,5,0
427,1,1,5,0.755221006,96,8,340,1,7,1
428,2,2,43,0.999465695,89,77,172,0,8,0
429,1,1,1,0,3,3,378,1,4,0
430,1,1,5,0.943203745,36,0,357,1,6,1
431,1,1,1,0,3,3,375,1,4,0
432,1,1,2,1,12,7,212,1,4,1
433,1,1,4,0.938693532,4,4,459,1,7,0
434,1,1,5,0.921329965,14,6,174,1,5,1
436,1,1,1,0,3,3,376,0,4,1
437,1,1,2,0.881290899,9,4,385,1,6,1
439,1,1,2,0.985228136,38,10,290,1,5,1
440,1,1,1,0,19,0,374,0,4,0
441,1,1,4,0.900168996,101,34,234,1,5,1
442,1,1,1,0,15,6,334,0,4,0
443,1,1,1,0,6,3,332,0,4,0
446,1,1,1,0,6,31,325,1,3,1
449,1,1,1,0,3,3,295,1,3,0
450,1,1,11,0.9071452,78,30,177,1,2,1
451,1,1,17,0.765512607,113,128,127,1,3,1
453,1,1,1,0,10,0,288,1,1,1
454,1,1,1,0,31,14,286,1,1,0
456,1,1,20,0.734560032,553,514,114,0,1,1
457,1,1,16,0.681955816,121,63,167,0,3,0
458,1,1,16,0.838065176,644,423,160,0,3,0
459,1,1,3,0.839600875,191,116,304,0,2,0
460,1,1,25,0.748275087,110,77,130,0,4,0
461,1,1,18,0.710736824,45,28,386,1,12,0
463,1,1,11,0.658909633,67,57,324,0,11,0
464,1,1,1,0,889,342,757,0,9,0
465,1,1,1,0,2,2,802,1,20,0
466,1,1,2,0.995727452,8,5,1053,1,21,0
467,1,1,1,0,19,0,806,1,18,0
471,1,1,1,0,0,2,861,1,17,0
478,2,2,23,0.506395831,115,130,544,0,21,0
480,2,2,14,0.754187029,43,16,555,0,22,0
488,1,1,14,0.260322074,49,126,539,0,21,0
489,2,2,24,0.812655488,80,82,464,1,20,0
493,2,2,19,0.447377955,121,158,507,0,21,0
496,1,1,8,0.879713208,4,4,691,1,21,0
498,1,1,1,0,2,4,845,1,18,0
516,1,1,1,0,19,35,631,1,20,0
517,1,1,1,0,3,3,641,1,20,0
525,1,1,1,0,9,5,577,1,21,0
527,1,1,7,0.439004964,26,37,684,0,24,0
528,1,1,10,0.43652701,58,217,456,1,25,0
529,1,1,11,0.801567809,26,27,649,0,24,0
530,1,1,12,0.742504806,7,3,646,1,24,0
533,1,1,12,0.798559462,14,10,635,0,24,0
534,1,1,2,0.20307393,39,0,799,0,23,0
535,1,1,3,0.429214516,5,63,574,1,24,0
536,1,1,3,0.451120228,17,48,653,0,23,0
537,1,1,7,0.893703898,23,27,727,1,25,0
538,1,1,8,0.87583021,5,1,487,0,24,0
541,1,1,1,0,37,12,243,1,31,0
543,1,1,1,0,13,8,239,1,29,0
544,1,1,2,0.721928095,31,17,209,1,29,0
545,1,1,1,0,8,0,236,1,29,0
546,1,1,1,0,4,4,234,1,29,0
549,1,1,1,0,39,13,233,1,28,0
551,1,1,1,0,46,15,195,1,31,0
556,1,1,3,0,19,5,72,0,1,0
562,1,1,4,0.670804341,76,13,274,1,5,1
563,1,1,10,0.810774399,38,7,216,1,6,1
564,1,1,3,0.982141033,6,6,422,1,5,1
566,1,1,1,0,32,16,63,0,3,0
568,1,1,3,0.709253633,253,37,292,1,5,1
578,1,1,3,0.649923701,66,2,405,0,4,1
581,1,1,2,0.954434003,29,4,244,1,2,1
584,1,1,1,0,239,0,67,0,2,1
588,1,1,2,0.993170925,200,12,340,0,3,1
589,1,1,2,0.764204507,22,3,186,0,3,0
590,1,1,2,0.988699408,19,15,236,0,2,1
600,1,1,2,0,0,0,0,0,2,0
601,1,1,2,0.956073359,3553,0,24,0,2,0
602,1,1,1,0,0,0,0,1,1,0
604,1,1,1,0,136,0,44,0,2,0
606,1,1,2,0.789749254,375,100,40,0,2,0
611,1,1,2,0.923119984,936,511,24,1,2,0
613,1,1,1,0,28,0,36,1,1,0
615,1,1,1,0,31,31,32,1,1,0
616,1,1,1,0,125,63,32,1,1,0
618,1,1,2,0.994030211,154,128,20,1,1,0
622,1,1,1,0,0,0,0,1,1,0
623,1,1,1,0,77,0,39,0,2,0
632,1,1,2,0.503258335,170,21,24,1,1,0
633,1,1,1,0,91,0,11,0,1,0
634,1,1,1,0,200,100,10,0,1,0
635,1,1,1,0,111,0,9,0,1,0
636,1,1,2,0.574635698,564,564,20,0,1,0
638,1,1,2,0.941664684,3541,0,19,0,1,0
669,2,2,8,0.725672436,65,19,389,1,8,1
672,1,1,1,0,357,264,409,1,1,1
675,1,1,2,0.510787823,85,19,212,1,6,1
689,1,1,1,0,3,3,348,1,3,0
702,2,2,18,0.832761058,8,8,356,1,33,1
705,2,2,2,1,10,10,102,1,5,0
708,2,2,9,0.851601804,3,3,452,0,14,0
710,2,2,2,1,163,0,86,1,2,1
718,2,3,3,1,10,10,103,1,8,1
720,2,2,2,1,8,30,132,1,7,1
724,2,2,2,1,22,30,134,1,5,1
726,2,2,2,1,16,8,125,1,4,0
754,2,2,2,1,22,30,134,1,5,0
756,1,1,1,0,0,8,133,0,7,0
758,3,3,49,1,4,4,261,1,30,0
761,1,1,1,0,500,0,26,0,7,0
769,1,1,4,0,0,0,0,0,5,0
771,1,1,1,0,0,0,52,1,1,0
772,1,1,1,0,327,365,52,0,4,0
773,1,1,1,0,0,0,0,0,1,0
774,1,1,1,0,0,12,260,0,3,0
775,1,1,1,0,38,164,262,0,3,0
776,1,1,2,1,6,6,181,1,2,0
778,1,1,6,0.594030273,30,18,644,1,17,0
779,1,1,3,0.835812745,13,9,656,1,19,0
780,1,1,4,0.668010747,145,38,476,1,17,0
781,1,1,1,0,2504,0,224,0,1,0
782,1,1,1,0,0,0,0,0,1,0
784,1,1,21,0.774364197,38,30,306,1,12,0
794,2,2,6,0.519745454,59,84,553,1,40,1
798,3,3,7,0.758865535,84,39,352,1,38,1
802,3,3,61,0.875273732,12,13,272,1,46,1
805,1,1,1,0,9,20,817,1,19,1
806,2,2,5,0.417869415,45,81,568,1,33,1
808,2,3,12,0.73103835,5,9,821,1,35,1
809,1,1,1,0,221,195,773,1,19,1
813,3,3,3,0.592603751,26,30,494,1,22,1
820,1,1,5,0.844327025,4,7,533,1,35,1
826,2,2,4,0.675341627,49,22,673,1,34,1
828,2,2,3,0.853930931,3,7,819,1,33,0
829,2,2,2,0.985228136,4,2,647,1,20,1
830,2,2,2,0.970950594,1,3,646,1,20,1
831,2,2,2,0.970950594,3,1,647,1,20,1
832,2,2,2,0.942163169,29,52,392,1,19,1
833,1,1,1,0,387,349,737,1,19,1
835,1,1,1,0,1,1,718,1,19,0
840,2,2,2,0.663661125,100,54,546,1,19,1
842,2,2,3,0.737430521,12,7,445,1,33,0
843,2,2,8,0.902266773,11,7,397,1,36,1
846,2,2,23,0.906088001,21,17,482,1,37,1
853,1,1,1,0,1,1,685,1,16,0
854,1,1,1,0,38,0,685,1,16,1
855,1,1,1,0,45,36,669,1,16,1
856,1,1,1,0,4,4,669,1,16,0
857,2,2,9,0.77161451,12,4,572,1,28,1
858,2,2,2,1,2,0,547,1,17,1
859,1,1,1,0,11,2,664,1,16,0
860,1,1,1,0,6,5,662,1,15,1
861,1,1,1,0,0,14,661,1,15,0
862,1,1,2,0.32984607,38,8,357,1,24,1
863,3,3,50,0.959367411,7,13,249,1,34,1
865,1,1,1,0,8,2,655,1,14,0
866,1,1,1,0,55,18,653,1,14,1
867,1,1,1,0,5,5,638,1,14,1
868,1,1,1,0,16,0,638,1,14,1
870,1,1,1,0,90,65,631,1,13,0
871,2,2,5,0.710973013,84,5,1003,1,30,1
873,1,1,1,0,2,2,450,1,13,1
879,1,1,1,0,7,0,453,1,9,1
880,1,1,1,0,131,20,450,1,9,1
883,1,1,2,1,3,0,314,1,21,0
885,1,1,2,0.757878463,30,21,313,1,21,1
888,2,2,10,0.675630372,28,49,602,1,25,1
889,2,2,18,0.668000657,57,37,434,1,25,1
890,1,1,1,0,2,16,442,1,8,0
892,1,1,2,0.168660931,14,4,1092,1,20,1
893,1,1,1,0,91,153,430,1,8,1
896,1,1,1,0,4,4,463,1,8,0
898,1,1,2,0.728656167,22,5,1091,1,19,1
900,1,1,1,0,13,0,446,1,7,0
904,2,2,12,0.946606327,43,144,181,1,22,1
908,2,2,4,1,6,6,174,1,5,1
910,1,1,1,0,9,7,441,1,3,1
926,1,1,10,0.802045651,29,24,590,1,19,0
943,2,2,16,0.70747225,38,40,432,0,26,0
944,1,1,46,0.694432338,4,5,287,0,26,0
947,1,1,9,0.866389698,13,20,227,0,22,0
949,2,2,2,0.845350937,11,4,372,0,16,0
951,2,2,4,0.615550694,50,25,568,1,34,0
952,1,1,1,0,3,3,669,1,19,0
953,1,1,1,0,9,3,669,1,19,0
954,2,2,2,0.787126586,20,14,508,1,17,0
955,1,1,1,0,45,36,665,1,16,0
957,2,2,4,0.671228223,49,17,486,1,25,0
958,1,1,1,0,7,1,737,1,19,0
959,1,1,1,0,11,10,736,1,19,0
961,2,2,3,0.932020159,7,3,558,1,20,0
963,1,1,1,0,7,1,762,1,19,0
964,1,1,1,0,0,0,0,1,8,0
965,1,1,6,0.975503759,4,4,290,0,11,1
966,1,1,1,0,48,12,83,1,5,0
967,1,1,1,0,160,25,81,1,5,0
969,1,1,4,0.865674672,48,53,109,1,5,1
970,1,1,3,0.782304601,50,44,121,0,4,1
971,1,1,4,0.77268308,24,26,186,0,5,1
972,1,1,1,0,25,25,79,0,1,0
973,1,1,1,0,177,13,79,1,1,0
974,1,1,1,0,28,14,71,0,1,1
975,1,1,1,0,57,14,70,0,1,0
976,1,1,1,0,15,15,68,1,1,0
977,1,1,1,0,88,44,68,0,1,0
978,1,1,1,0,0,0,66,1,1,1
996,2,2,17,0.679472064,109,19,576,1,29,1
1008,1,1,1,0,66,10,197,1,21,1
1012,1,1,1,0,22,0,182,1,20,1
1016,1,1,1,0,6,11,180,1,19,0
1017,2,2,28,0.93445891,22,29,195,1,22,1
1018,1,1,1,0,27,27,182,1,19,0
1020,1,1,4,0.610137959,70,81,398,1,21,1
1021,1,1,4,0.951986362,7,8,890,1,20,0
1023,1,1,1,0,5,2,433,1,17,0
1024,1,1,1,0,102,9,432,1,17,1
1025,1,1,1,0,55,29,416,1,17,0
1026,1,1,1,0,2,2,409,1,16,0
1027,1,1,2,0.609840305,23,11,592,1,17,1
1028,1,1,2,0.297472249,9,23,587,1,17,1
1029,1,1,2,0.297472249,23,9,593,1,17,1
1032,1,1,2,0.297472249,9,23,584,1,17,1
1033,1,1,2,0.297472249,23,9,590,1,17,1
1034,1,1,1,0,2,2,408,1,16,0
1035,1,1,1,0,2,2,408,1,15,0
1036,1,1,1,0,17,10,408,1,14,0
1038,1,1,2,0.77170947,11,34,585,1,16,0
1040,1,1,2,0.998000884,17,10,349,1,14,0
1041,1,1,2,1,4,0,272,1,13,0
1042,1,1,5,0.886581086,41,20,510,1,15,1
1043,1,1,6,0.775258887,32,2,513,1,15,1
1045,1,1,1,0,5,13,386,1,11,1
1046,1,1,1,0,8,3,388,1,11,0
1047,1,1,1,0,5,13,386,1,11,0
1048,1,1,2,0.701206584,48,31,504,1,12,1
1049,1,1,1,0,5,5,396,1,11,0
1050,1,1,2,0.949452015,14,5,496,1,11,1
1051,1,1,1,0,3,3,395,1,10,0
1052,1,1,1,0,3,3,395,1,10,1
1055,1,1,1,0,8,8,395,1,10,1
1057,1,1,3,0.772566151,10,4,653,1,11,1
1059,1,1,6,0.714692468,98,38,488,1,11,1
1060,1,1,2,0.353359335,8,7,481,1,11,1
1061,2,2,4,0.883565233,115,27,291,1,11,1
1064,1,1,2,0.800392208,30,10,461,1,10,1
1069,1,1,9,0.872807253,46,4,558,1,8,1
1070,1,1,4,0.61494778,86,62,382,0,6,1
1071,1,1,1,0,3,3,388,0,6,0
1072,1,1,2,0.918295834,2,2,668,1,6,1
1075,1,1,1,0,5,5,371,0,6,0
1076,1,1,1,0,5,5,371,1,6,0
1077,1,1,1,0,3,3,371,1,6,0
1078,1,1,1,0,3,0,371,0,6,0
1081,1,1,1,0,3,3,354,1,6,1
1082,1,1,2,0.811278124,6,6,356,1,6,1
1086,1,1,1,0,3,0,333,0,5,0
1090,1,1,1,0,3,3,302,1,4,0
1093,1,1,1,0,27,3,291,1,3,1
1094,1,1,1,0,3,3,286,1,3,1
1095,1,1,2,0.863120569,133,3,308,1,3,1
1096,1,1,1,0,37,4,268,1,3,1
1097,1,1,1,0,218,8,261,0,3,1
1098,1,1,1,0,21,4,240,1,3,0
1101,1,1,1,0,5,0,221,0,2,1
1103,1,1,11,0.847998396,130,15,169,0,3,1
1115,1,1,1,0,1018,583,492,0,10,0
1117,1,1,1,0,2,2,418,1,19,0
1118,1,1,1,0,5,2,418,1,17,0
1119,1,1,1,0,106,10,417,1,17,0
1120,1,1,2,0.813914894,426,85,439,0,19,0
1153,1,1,2,0,0,0,0,0,22,0
1154,1,1,6,0.697726188,646,604,469,0,24,0
1155,1,1,13,0.752704688,47,28,524,1,23,0
1157,2,2,3,1,4,4,273,1,24,0
1158,1,1,4,0.970322725,5,8,384,1,22,0
1159,1,1,1,0,22,11,184,1,20,0
1160,1,1,1,0,22,0,182,1,20,0
1166,1,1,2,1,5,5,214,1,23,0
1169,1,1,8,0.661024745,4,11,772,1,24,0
1172,1,1,5,0.740766409,20,9,765,0,24,0
1175,1,1,7,0.570925134,9,6,721,1,24,0
1177,1,1,4,0.787277528,58,37,581,1,23,0
1178,1,1,4,0.908962882,34,32,532,1,24,0
1196,1,1,3,0.960229718,1,1,672,1,21,1
1198,1,1,3,0.94639463,3,2,626,1,12,1
1208,1,1,1,0,0,0,406,1,1,1
1221,1,1,1,0,18,5,623,1,36,0
1222,1,1,1,0,2,2,621,1,36,0
1224,3,5,10,0.825404714,43,8,837,1,44,1
1225,2,2,2,0.69621226,30,14,363,1,36,1
1232,1,1,1,0,2,2,579,1,34,0
1234,1,1,1,0,2,2,582,1,33,0
1236,1,1,1,0,5,2,582,1,33,0
1239,2,2,2,0.485460761,17,10,350,1,34,0
1240,1,1,1,0,5,5,578,1,33,0
1241,1,1,1,0,9,5,578,1,33,0
1242,1,1,1,0,12,2,579,1,33,0
1243,1,1,1,0,30,12,573,1,33,1
1244,1,1,1,0,5,0,572,1,33,0
1246,1,1,1,0,2,2,571,1,33,0
1248,2,2,2,0.258018669,9,5,804,1,34,1
1251,2,2,8,0.531487668,24,23,578,1,37,1
1252,1,1,1,0,9,2,554,1,33,0
1255,1,1,1,0,2,0,539,1,33,1
1257,1,1,1,0,11,20,538,1,33,0
1262,3,3,27,0.888467851,7,7,447,1,39,1
1263,3,3,27,0.888467851,7,7,447,1,39,1
1264,2,2,2,0.994030211,10,5,771,1,34,1
1265,1,1,2,0.896038233,19,6,309,1,32,0
1267,2,2,2,0.863120569,9,2,323,1,33,0
1269,1,1,1,0,2,0,533,1,32,0
1270,1,1,7,0.854587488,3,3,893,1,37,1
1272,1,1,1,0,2,2,532,1,32,0
1274,1,1,1,0,83,71,532,1,32,1
1278,1,1,1,0,52,44,523,1,31,1
1280,1,1,2,0,1,0,392,1,31,1
1286,2,2,2,0.985228136,8,6,730,1,30,1
1288,1,1,1,0,216,169,514,1,30,1
1292,2,2,2,0.588757589,77,10,725,1,30,1
1297,2,2,2,0.512709142,58,58,301,1,30,1
1299,1,1,2,0.997772472,37,14,355,1,30,1
1301,1,1,1,0,38,20,499,1,29,1
1302,1,1,1,0,16,0,492,1,29,1
1308,1,1,1,0,27,27,482,1,28,1
1309,1,1,2,0.749595257,10,1,673,1,31,1
1313,2,2,2,0.612196127,81,55,585,1,28,1
1315,1,1,1,0,2,2,452,1,28,0
1318,1,1,1,0,18,5,435,1,28,0
1319,1,1,1,0,16,2,431,1,28,0
1322,1,1,1,0,16,16,426,1,28,0
1324,2,2,5,0.858169997,66,51,146,1,29,1
1325,1,1,1,0,2,2,426,1,28,0
1327,1,1,1,0,23,0,432,1,28,1
1328,1,1,1,0,2,2,430,1,28,1
1331,1,1,1,0,12,12,427,1,27,0
1332,3,3,4,0.881558727,17,4,312,1,29,1
1333,1,1,1,0,7,5,426,1,26,1
1336,1,1,1,0,2,2,426,0,26,1
1337,1,1,1,0,16,7,426,1,26,0
1339,2,2,2,0.479832024,18,40,248,1,26,0
1340,2,3,50,0.860120826,25,14,284,1,31,1
1341,1,1,1,0,2,2,418,1,26,1
1343,1,1,1,0,0,43,418,1,25,0
1344,1,1,1,0,83,37,432,1,25,1
1346,1,1,1,0,17,14,417,1,23,1
1347,1,1,1,0,2,2,416,1,22,1
1348,1,1,4,0.579081557,15,3,826,1,27,1
1349,1,1,1,0,5,14,416,1,22,1
1350,1,1,1,0,2,2,416,1,22,0
1351,1,1,3,0.577849258,28,21,527,1,25,1
1354,1,1,1,0,24,15,409,1,22,0
1355,1,1,1,0,52,37,406,1,22,1
1356,1,1,1,0,37,12,403,1,22,0
1357,2,2,3,0.791956488,42,17,511,1,24,1
1358,2,2,3,0.895754138,11,4,361,1,22,1
1359,1,1,1,0,5,5,384,1,21,0
1361,1,1,1,0,3,3,382,1,21,0
1362,1,1,1,0,0,5,382,1,21,0
1364,1,1,2,0.391243564,6,5,619,1,23,1
1368,1,1,1,0,8,3,388,1,21,1
1370,1,1,1,0,15,0,389,1,21,1
1372,1,1,1,0,5,10,386,1,21,1
1376,2,2,2,0,23,925,456,1,21,1
1377,1,1,1,0,1,1,895,1,21,0
1378,1,1,1,0,1,1,895,1,21,0
1381,1,1,4,0.923527595,17,23,775,1,25,1
1382,1,1,1,0,15,0,910,1,21,0
1383,1,1,1,0,24,0,898,1,20,1
1387,1,1,1,0,11,0,883,1,19,1
1392,1,1,1,0,1,1,878,1,19,1
1393,1,1,1,0,1,1,878,1,19,1
1401,1,1,1,0,30,13,871,1,19,1
1402,1,1,1,0,8,5,860,1,19,1
1406,1,1,1,0,4,0,846,1,19,1
